ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a089c3bc259f300017657ec,0,50,filler,-,-,-,The President,0.0,1,658,EXP6
5a089c3bc259f300017657ec,0,29,pp_rel,p,1,rel,The demonstrators that interrupted the rallies,0.0,1,499,EXP6
5a089c3bc259f300017657ec,0,51,filler,-,-,-,The Prime Minister,0.0,1,593,EXP6
5a089c3bc259f300017657ec,0,15,sp_rel,s,0,rel,The actor who directed the films,0.0,1,659,EXP6
5a089c3bc259f300017657ec,0,75,filler,-,-,-,A train,0.0,1,489,EXP6
5a089c3bc259f300017657ec,0,77,filler,-,-,-,An oven,0.0,1,507,EXP6
5a089c3bc259f300017657ec,0,18,ps_prep,p,0,prep,The couriers with the diplomat's message,0.0,1,460,EXP6
5a089c3bc259f300017657ec,0,58,filler,-,-,-,Some iron railings,0.0,1,537,EXP6
5a089c3bc259f300017657ec,0,30,ps_rel,p,0,rel,The students who had failed the class,0.0,1,504,EXP6
5a089c3bc259f300017657ec,0,60,filler,-,-,-,A purse,0.0,1,511,EXP6
5a089c3bc259f300017657ec,0,56,filler,-,-,-,The laptop,0.0,1,525,EXP6
5a089c3bc259f300017657ec,0,11,sp_prep,s,0,prep,The neutral zone around the Arcturian solar systems,0.0,1,440,EXP6
5a089c3bc259f300017657ec,0,78,filler,-,-,-,Some loud speakers,0.0,1,689,EXP6
5a089c3bc259f300017657ec,0,2,ps_prep,p,0,prep,The pamphlets from the British government agency,0.0,1,548,EXP6
5a089c3bc259f300017657ec,0,85,filler,-,-,-,This chain,0.0,1,720,EXP6
5a089c3bc259f300017657ec,0,32,ss_rel,s,1,rel,The ruler who enslaved the city-state,0.0,1,562,EXP6
5a089c3bc259f300017657ec,0,33,filler,-,-,-,The unhappy man,0.0,1,579,EXP6
5a089c3bc259f300017657ec,0,55,filler,-,-,-,Some chairs,0.0,1,571,EXP6
5a089c3bc259f300017657ec,0,25,pp_prep,p,1,prep,The directors of the forthcoming motion pictures,0.0,1,492,EXP6
5a089c3bc259f300017657ec,0,41,filler,-,-,-,A helpless lamb,0.0,1,577,EXP6
5a089c3bc259f300017657ec,0,72,filler,-,-,-,A staircase,0.0,1,545,EXP6
5a089c3bc259f300017657ec,0,22,ps_rel,p,0,rel,The composers who rewrote the opera,0.0,1,503,EXP6
5a089c3bc259f300017657ec,0,88,filler,-,-,-,Those shoes,0.0,1,849,EXP6
5a089c3bc259f300017657ec,0,19,sp_prep,s,0,prep,The star of the Broadway musicals,0.0,1,629,EXP6
5a089c3bc259f300017657ec,0,86,filler,-,-,-,That dull razor,0.0,1,676,EXP6
5a089c3bc259f300017657ec,0,46,filler,-,-,-,The policemen,0.0,0,686,EXP6
5a089c3bc259f300017657ec,0,21,pp_rel,p,1,rel,The pictures that embarrassed the politicians,0.0,1,510,EXP6
5a089c3bc259f300017657ec,0,37,filler,-,-,-,These hungry boys,0.0,1,659,EXP6
5a089c3bc259f300017657ec,0,71,filler,-,-,-,Those plants,0.0,1,566,EXP6
5a089c3bc259f300017657ec,0,20,ss_prep,s,1,prep,The corporation with the banking monopoly,0.0,1,527,EXP6
5a089c3bc259f300017657ec,0,59,filler,-,-,-,These crooked prongs,0.0,1,653,EXP6
5a089c3bc259f300017657ec,0,40,filler,-,-,-,Those unlucky firemen,0.0,1,592,EXP6
5a089c3bc259f300017657ec,0,23,sp_rel,s,0,rel,The teacher who received the education certificates,0.0,1,517,EXP6
5a089c3bc259f300017657ec,0,52,filler,-,-,-,The lazy student,0.0,1,680,EXP6
5a089c3bc259f300017657ec,0,80,filler,-,-,-,The roses,0.0,1,584,EXP6
5a01f5e49b760100013a682d,0,67,filler,-,-,-,This short skirt,0.0,1,609,EXP6
5a01f5e49b760100013a682d,0,82,filler,-,-,-,The icy wings,0.0,1,587,EXP6
5a01f5e49b760100013a682d,0,38,filler,-,-,-,Some roosters,0.0,1,685,EXP6
5a01f5e49b760100013a682d,0,45,filler,-,-,-,A hunter,0.0,1,508,EXP6
5a01f5e49b760100013a682d,0,84,filler,-,-,-,A faulty zipper,0.0,1,525,EXP6
5a01f5e49b760100013a682d,0,49,filler,-,-,-,A quiet librarian,0.0,1,634,EXP6
5a01f5e49b760100013a682d,0,62,filler,-,-,-,The newspaper,0.0,1,593,EXP6
5a01f5e49b760100013a682d,0,81,filler,-,-,-,These radios,0.0,1,472,EXP6
5a01f5e49b760100013a682d,0,3,sp_prep,s,0,prep,The tire-eater in the carnival sideshows,0.0,1,1114,EXP6
5a01f5e49b760100013a682d,0,44,filler,-,-,-,This mad scientist,0.0,1,755,EXP6
5a01f5e49b760100013a682d,0,9,pp_prep,p,1,prep,The superintendents of the technical schools,0.0,1,558,EXP6
5a01f5e49b760100013a682d,0,83,filler,-,-,-,The kitchen sink,0.0,1,479,EXP6
5a01f5e49b760100013a682d,0,68,filler,-,-,-,These churches,0.0,1,562,EXP6
5a01f5e49b760100013a682d,0,5,pp_rel,p,1,rel,The security forces that patrolled the manufacturing plants,0.0,1,659,EXP6
5a01f5e49b760100013a682d,0,54,filler,-,-,-,The bike,0.0,1,626,EXP6
5a01f5e49b760100013a682d,0,7,sp_rel,s,0,rel,The charismatic leader who addressed the dissident groups,0.0,1,800,EXP6
5a01f5e49b760100013a682d,0,74,filler,-,-,-,The coat,0.0,0,562,EXP6
5a01f5e49b760100013a682d,0,10,ps_prep,p,0,prep,The memos from the junior executive,0.0,1,624,EXP6
5a01f5e49b760100013a682d,0,47,filler,-,-,-,The unavoidable disaster,0.0,1,604,EXP6
5a01f5e49b760100013a682d,0,73,filler,-,-,-,The broken printers,0.0,1,535,EXP6
5a01f5e49b760100013a682d,0,8,ss_rel,s,1,rel,The advisor who directed the student,0.0,1,738,EXP6
5a01f5e49b760100013a682d,0,65,filler,-,-,-,The chain,0.0,1,560,EXP6
5a01f5e49b760100013a682d,0,6,ps_rel,p,0,rel,The confessions that involved the television preacher,0.0,1,505,EXP6
5a01f5e49b760100013a682d,0,61,filler,-,-,-,A tight glove,0.0,1,496,EXP6
5a01f5e49b760100013a682d,0,39,filler,-,-,-,Every child,0.0,1,426,EXP6
5a01f5e49b760100013a682d,0,4,ss_prep,s,1,prep,The bright light in Doctor Smith's examination room,0.0,1,511,EXP6
5a01f5e49b760100013a682d,0,79,filler,-,-,-,A closed drawer,0.0,1,524,EXP6
5a01f5e49b760100013a682d,0,28,ss_prep,s,1,prep,The laboratory with the analog computer,0.0,1,508,EXP6
5a01f5e49b760100013a682d,0,43,filler,-,-,-,All the cats,0.0,1,414,EXP6
5a01f5e49b760100013a682d,0,70,filler,-,-,-,This shoe,0.0,1,405,EXP6
5a01f5e49b760100013a682d,0,16,ss_rel,s,1,rel,The consultant who advised the firm,0.0,1,569,EXP6
5a01f5e49b760100013a682d,0,64,filler,-,-,-,The rusty blades,0.0,1,479,EXP6
5a01f5e49b760100013a682d,0,14,ps_rel,p,0,rel,The rebel soldiers who deserted the battle,0.0,1,358,EXP6
5a01f5e49b760100013a682d,0,53,filler,-,-,-,The prickly thorns,0.0,1,814,EXP6
5a01f5e49b760100013a682d,0,1,pp_prep,p,1,prep,The demo tapes from the popular rock singers,0.0,1,519,EXP6
5a01f5e49b760100013a682d,0,42,filler,-,-,-,The farmers,0.0,1,869,EXP6
5a01f5e49b760100013a682d,0,76,filler,-,-,-,The gooey filling,0.0,1,891,EXP6
5a01f5e49b760100013a682d,0,31,sp_rel,s,0,rel,The Peace Corps volunteer who assisted the villages,0.0,1,647,EXP6
5a01f5e49b760100013a682d,0,66,filler,-,-,-,The jackets,0.0,1,569,EXP6
5a01f5e49b760100013a682d,0,26,ps_prep,p,0,prep,The applicants for the corporate scholarship,0.0,1,477,EXP6
5a01f5e49b760100013a682d,0,36,filler,-,-,-,The slimy frog,0.0,0,598,EXP6
5a01f5e49b760100013a682d,0,35,filler,-,-,-,The fire,0.0,1,500,EXP6
5a01f5e49b760100013a682d,0,13,pp_rel,p,1,rel,The offices that belonged to the accountants,0.0,1,468,EXP6
5a01f5e49b760100013a682d,0,57,filler,-,-,-,The wobbly leg,0.0,1,482,EXP6
5a01f5e49b760100013a682d,0,27,sp_prep,s,0,prep,The editor of the history books,0.0,1,321,EXP6
5a01f5e49b760100013a682d,0,87,filler,-,-,-,Each fork,0.0,1,564,EXP6
5a01f5e49b760100013a682d,0,63,filler,-,-,-,The cracked knob,0.0,1,441,EXP6
5a01f5e49b760100013a682d,0,24,ss_rel,s,1,rel,The speaker who addressed the meeting,0.0,1,332,EXP6
5a01f5e49b760100013a682d,0,34,filler,-,-,-,The dog,0.0,1,361,EXP6
5a01f5e49b760100013a682d,0,17,pp_prep,p,1,prep,The teaching assistants for the physics labs,0.0,1,358,EXP6
5a01f5e49b760100013a682d,0,48,filler,-,-,-,Some terminal diseases,0.0,1,574,EXP6
5a01f5e49b760100013a682d,0,12,ss_prep,s,1,prep,The traffic jam on the Okemos street,0.0,1,379,EXP6
5a01f5e49b760100013a682d,0,69,filler,-,-,-,The tight fingers,0.0,1,600,EXP6
5a01f5e49b760100013a682d,0,50,filler,-,-,-,The President,0.0,1,494,EXP6
5a01f5e49b760100013a682d,0,29,pp_rel,p,1,rel,The demonstrators that interrupted the rallies,0.0,1,608,EXP6
5a01f5e49b760100013a682d,0,51,filler,-,-,-,The Prime Minister,0.0,1,404,EXP6
5a01f5e49b760100013a682d,0,15,sp_rel,s,0,rel,The actor who directed the films,0.0,1,673,EXP6
5a01f5e49b760100013a682d,0,75,filler,-,-,-,A train,0.0,1,478,EXP6
5a01f5e49b760100013a682d,0,77,filler,-,-,-,An oven,0.0,1,503,EXP6
5a01f5e49b760100013a682d,0,18,ps_prep,p,0,prep,The couriers with the diplomat's message,0.0,1,929,EXP6
5a01f5e49b760100013a682d,0,58,filler,-,-,-,Some iron railings,0.0,1,634,EXP6
5a01f5e49b760100013a682d,0,30,ps_rel,p,0,rel,The students who had failed the class,0.0,1,524,EXP6
5a01f5e49b760100013a682d,0,60,filler,-,-,-,A purse,0.0,1,479,EXP6
5a01f5e49b760100013a682d,0,56,filler,-,-,-,The laptop,0.0,1,515,EXP6
5a01f5e49b760100013a682d,0,11,sp_prep,s,0,prep,The neutral zone around the Arcturian solar systems,0.0,1,804,EXP6
5a01f5e49b760100013a682d,0,78,filler,-,-,-,Some loud speakers,0.0,1,391,EXP6
